texto,intent
me chamaram de macaco,RACISMO
me zoaram por ser negro,RACISMO
me ofenderam pela cor da pele,RACISMO
disseram que preto não presta,RACISMO
sofri piada racista na escola,RACISMO
me chamaram de escravo,RACISMO
comentaram ofensa racial no trabalho,RACISMO
me chamaram de preto safado,RACISMO
usaram apelido racista comigo,RACISMO
me chamaram de negro imundo,RACISMO
falaram que preto não deveria estar aqui,RACISMO
me mandaram voltar pra senzala,RACISMO
me chamaram de crioulo,RACISMO
disseram que gente da minha cor não presta,RACISMO
falaram que eu só consegui emprego por cota,RACISMO
me zoaram por causa da minha cor de pele,RACISMO
me chamaram de neguinho de forma ofensiva,RACISMO
fizeram piada racista comigo na internet,RACISMO
gritaram ofensas raciais na rua,RACISMO
disseram que minha cor é motivo de vergonha,RACISMO
me compararam a um animal por ser negro,RACISMO
alguém disse que preto é inferior,RACISMO
falaram que eu parecia escravo,RACISMO
postaram meme racista sobre mim,RACISMO
me chamaram de negro sujo,RACISMO
me zoaram por ser africano,RACISMO
falaram que preto não devia estudar,RACISMO
me chamaram de macaco em público,RACISMO
me chamaram de cor de carvão,RACISMO
me humilharam por ser negro,RACISMO
me zoaram pq sou negro,RACISMO
falou que preto fede,RACISMO
me chamaro de macaco no jogo,RACISMO
um cara disse q preto n presta,RACISMO
gritaram macaco pra mim na rua,RACISMO
postaram piada racista no grupo,RACISMO
um moleque me chamou de carvão,RACISMO
me chamaram de neguim de forma ofensiva,RACISMO
disseram que minha cor é motivo de piada,RACISMO
me zoaram chamando de senzala,RACISMO
um cara falou q sou preto sujo,RACISMO
me chamaram de crioulo nojento,RACISMO
postaram meme racista com minha foto,RACISMO
um jogador me xingou de preto lixo,RACISMO
me chamaram de escravinho,RACISMO
disseram q preto só serve pra sofrer,RACISMO
me compararam a gorila,RACISMO
me chamaram de negão safado,RACISMO
falaram q eu parecia animal,RACISMO
alguém falou q preto é preguiçoso,RACISMO
me zoaram na escola por ser negro,RACISMO
mandaram msg racista no insta,RACISMO
um cara me chamou de macaco fedido,RACISMO
me falaram q preto devia calar boca,RACISMO
me chamaram de neguinho lixo,RACISMO
disseram q eu n devia estudar pq sou preto,RACISMO
um desconhecido me chamou de escravo,RACISMO
me humilharam pela minha cor de pele,RACISMO
falou q preto não tem valor,RACISMO
me xingaram de neguim ridículo,RACISMO
gritaram negro imundo pra mim,RACISMO
um cara disse q eu era macaco jogando bola,RACISMO
me chamaram de urubu,RACISMO
disseram q minha pele é feia,RACISMO
me zoaram chamando de neguim da senzala,RACISMO
me chamaram de animal preto,RACISMO
um cara falou q minha cor é piada,RACISMO
me chamaram de escravo velho,RACISMO
falaram q preto é burro,RACISMO
me compararam a chimpanzé,RACISMO
me mandaram sair do grupo pq sou negro,RACISMO
um vizinho falou q preto é ladrão,RACISMO
me chamaram de pretinho com deboche,RACISMO
me xingaram de negrão safado,RACISMO
disseram q preto só dá problema,RACISMO
alguém falou q eu devia voltar pra senzala,RACISMO
me zoaram chamando de carvão humano,RACISMO
um cara disse q minha cor é piada,RACISMO
me chamaram de neguinho fedido,RACISMO
postaram comentário racista na minha foto,RACISMO
um colega falou q preto não devia existir,RACISMO
disseram que vão me bater,AMEACA
um cara falou que vai me matar,AMEACA
recebi ameaça de morte por mensagem,AMEACA
falaram que iam me quebrar na porrada,AMEACA
prometeram me agredir na saída,AMEACA
mandaram mensagem me ameaçando,AMEACA
me ligaram falando que iam me pegar,AMEACA
me xingaram e falaram que iam me bater,AMEACA
um vizinho me fez ameaça grave,AMEACA
ameaçaram machucar minha família,AMEACA
prometeram acabar com a minha vida,AMEACA
disseram que iam me dar um tiro,AMEACA
me ameaçaram com faca,AMEACA
falaram que iam me caçar até em casa,AMEACA
mandaram mensagem dizendo que vão me pegar,AMEACA
um grupo disse que vai me agredir,AMEACA
ameaçaram jogar pedra na minha casa,AMEACA
disseram que iam me dar uma surra,AMEACA
me ameaçaram de morte na internet,AMEACA
gritaram que iam me quebrar todo,AMEACA
falaram que eu não ia escapar vivo,AMEACA
me ameaçaram de agressão física,AMEACA
disseram que iam destruir minha família,AMEACA
mandaram recado que iam me matar,AMEACA
me disseram que eu ia apanhar na escola,AMEACA
ameaçaram invadir minha casa,AMEACA
alguém disse que vai me caçar no trabalho,AMEACA
me avisaram que vão me bater na saída,AMEACA
me ameaçaram no grupo do whatsapp,AMEACA
falaram que iam me dar paulada,AMEACA
disseram q iam me quebrar na porrada,AMEACA
um cara mandou msg falando q ia me matar,AMEACA
me ameaçaram de dar tiro,AMEACA
falaram q iam me arrebentar,AMEACA
me mandaram áudio dizendo q iam me pegar,AMEACA
um vizinho disse q ia me bater,AMEACA
um cara falou q eu ia apanhar feio,AMEACA
me ameaçaram de quebrar meus ossos,AMEACA
alguém disse q ia me perseguir até me pegar,AMEACA
recebi msg de morte,AMEACA
gritaram q iam me matar na rua,AMEACA
disseram q iam invadir minha casa,AMEACA
um cara falou q ia destruir minha família,AMEACA
mandaram msg falando q iam me esfaquear,AMEACA
um colega disse q eu ia me arrepender,AMEACA
falaram q iam me dar surra pesada,AMEACA
ameaçaram me agredir na saída da escola,AMEACA
um cara mandou q eu ia morrer logo,AMEACA
me ameaçaram no zap,AMEACA
um estranho disse q ia me espancar,AMEACA
recebi ameaça de agressão,AMEACA
falaram q eu não passaria dessa semana,AMEACA
ameaçaram bater na minha família,AMEACA
um grupo disse q iam me linchar,AMEACA
disseram q iam me caçar na rua,AMEACA
me ameaçaram de cortar meu rosto,AMEACA
falaram q iam jogar pedra em mim,AMEACA
um cara me ameaçou no facebook,AMEACA
mandaram msg falando q iam me arrebentar,AMEACA
um colega disse q ia me socar,AMEACA
disseram q iam quebrar minha cara,AMEACA
me ameaçaram de agressão física,AMEACA
um vizinho disse q eu ia apanhar,AMEACA
ameaçaram de morte por ligação,AMEACA
um cara falou q eu ia ser apagado,AMEACA
me ameaçaram na saída do trabalho,AMEACA
disseram q iam armar emboscada,AMEACA
um colega mandou recado de ameaça,AMEACA
me ameaçaram por mensagem direta,AMEACA
um cara disse q ia me dar facada,AMEACA
falaram q iam acabar comigo,AMEACA
um vizinho falou q ia me matar,AMEACA
recebi msg de ameaça séria,AMEACA
um cara me ameaçou pessoalmente,AMEACA
gritaram q iam me dar uma surra,AMEACA
me ameaçaram de quebrar tudo em casa,AMEACA
