texto,intent
"me chamaram de macaco",RACISMO
"me zoaram por ser negro",RACISMO
"me ofenderam pela cor da pele",RACISMO
"disseram que preto não presta",RACISMO
"sofri piada racista na escola",RACISMO
"me chamaram de escravo",RACISMO
"comentaram ofensa racial no trabalho",RACISMO
"me chamaram de preto safado",RACISMO
"usaram apelido racista comigo",RACISMO
"me chamaram de negro imundo",RACISMO
"falaram que preto não deveria estar aqui",RACISMO
"me mandaram voltar pra senzala",RACISMO
"me chamaram de crioulo",RACISMO
"disseram que gente da minha cor não presta",RACISMO
"falaram que eu só consegui emprego por cota",RACISMO
"me zoaram por causa da minha cor de pele",RACISMO
"me chamaram de neguinho de forma ofensiva",RACISMO
"fizeram piada racista comigo na internet",RACISMO
"gritaram ofensas raciais na rua",RACISMO
"disseram que minha cor é motivo de vergonha",RACISMO
"me compararam a um animal por ser negro",RACISMO
"alguém disse que preto é inferior",RACISMO
"falaram que eu parecia escravo",RACISMO
"postaram meme racista sobre mim",RACISMO
"me chamaram de negro sujo",RACISMO
"me zoaram por ser africano",RACISMO
"falaram que preto não devia estudar",RACISMO
"me chamaram de macaco em público",RACISMO
"me chamaram de cor de carvão",RACISMO
"me humilharam por ser negro",RACISMO
"me zoaram pq sou negro",RACISMO
"falou que preto fede",RACISMO
"me chamaro de macaco no jogo",RACISMO
"um cara disse q preto n presta",RACISMO
"gritaram macaco pra mim na rua",RACISMO
"postaram piada racista no grupo",RACISMO
"um moleque me chamou de carvão",RACISMO
"me chamaram de neguim de forma ofensiva",RACISMO
"disseram que minha cor é motivo de piada",RACISMO
"me zoaram chamando de senzala",RACISMO
"um cara falou q sou preto sujo",RACISMO
"me chamaram de crioulo nojento",RACISMO
"postaram meme racista com minha foto",RACISMO
"um jogador me xingou de preto lixo",RACISMO
"me chamaram de escravinho",RACISMO
"disseram q preto só serve pra sofrer",RACISMO
"me compararam a gorila",RACISMO
"me chamaram de negão safado",RACISMO
"falaram q eu parecia animal",RACISMO
"alguém falou q preto é preguiçoso",RACISMO
"me zoaram na escola por ser negro",RACISMO
"mandaram msg racista no insta",RACISMO
"um cara me chamou de macaco fedido",RACISMO
"me falaram q preto devia calar boca",RACISMO
"me chamaram de neguinho lixo",RACISMO
"disseram q eu n devia estudar pq sou preto",RACISMO
"um desconhecido me chamou de escravo",RACISMO
"me humilharam pela minha cor de pele",RACISMO
"falou q preto não tem valor",RACISMO
"me xingaram de neguim ridículo",RACISMO
"gritaram negro imundo pra mim",RACISMO
"um cara disse q eu era macaco jogando bola",RACISMO
"me chamaram de urubu",RACISMO
"disseram q minha pele é feia",RACISMO
"me zoaram chamando de neguim da senzala",RACISMO
"me chamaram de animal preto",RACISMO
"um cara falou q minha cor é piada",RACISMO
"me chamaram de escravo velho",RACISMO
"falaram q preto é burro",RACISMO
"me compararam a chimpanzé",RACISMO
"me mandaram sair do grupo pq sou negro",RACISMO
"um vizinho falou q preto é ladrão",RACISMO
"me chamaram de pretinho com deboche",RACISMO
"me xingaram de negrão safado",RACISMO
"disseram q preto só dá problema",RACISMO
"alguém falou q eu devia voltar pra senzala",RACISMO
"me zoaram chamando de carvão humano",RACISMO
"um cara disse q minha cor é piada",RACISMO
"me chamaram de neguinho fedido",RACISMO
"postaram comentário racista na minha foto",RACISMO
"um colega falou q preto não devia existir",RACISMO
me xingaram de macaco no insta,RACISMO
me xingaram de macaco no facebook,RACISMO
me xingaram de macaco no trabalho,RACISMO
me xingaram de macaco na escola,RACISMO
me xingaram de macaco no grupo da família,RACISMO
me xingaram de macaco no whatsapp,RACISMO
me xingaram de macaco no zap,RACISMO
me xingaram de macaco no twitter,RACISMO
me xingaram de macaco no jogo online,RACISMO
me xingaram de macaco em público,RACISMO
me xingaram de macaco no estádio,RACISMO
me xingaram de macaco na rua,RACISMO
me xingaram de macaco na faculdade,RACISMO
me xingaram de macaco num comentário,RACISMO
me xingaram de macaco por DM,RACISMO
me xingaram de macaco num post,RACISMO
me xingaram de macaco num story,RACISMO
me xingaram de macaco em live,RACISMO
me xingaram de macaco no tiktok,RACISMO
me xingaram de macaco num áudio,RACISMO
me chamaram de preto imundo no insta,RACISMO
me chamaram de preto imundo no facebook,RACISMO
me chamaram de preto imundo no trabalho,RACISMO
me chamaram de preto imundo na escola,RACISMO
me chamaram de preto imundo no grupo da família,RACISMO
me chamaram de preto imundo no whatsapp,RACISMO
me chamaram de preto imundo no zap,RACISMO
me chamaram de preto imundo no twitter,RACISMO
me chamaram de preto imundo no jogo online,RACISMO
me chamaram de preto imundo em público,RACISMO
me chamaram de preto imundo no estádio,RACISMO
me chamaram de preto imundo na rua,RACISMO
me chamaram de preto imundo na faculdade,RACISMO
me chamaram de preto imundo num comentário,RACISMO
me chamaram de preto imundo por DM,RACISMO
me chamaram de preto imundo num post,RACISMO
me chamaram de preto imundo num story,RACISMO
me chamaram de preto imundo em live,RACISMO
me chamaram de preto imundo no tiktok,RACISMO
me chamaram de preto imundo num áudio,RACISMO
mandaram eu voltar pra senzala no insta,RACISMO
mandaram eu voltar pra senzala no facebook,RACISMO
mandaram eu voltar pra senzala no trabalho,RACISMO
mandaram eu voltar pra senzala na escola,RACISMO
mandaram eu voltar pra senzala no grupo da família,RACISMO
mandaram eu voltar pra senzala no whatsapp,RACISMO
mandaram eu voltar pra senzala no zap,RACISMO
mandaram eu voltar pra senzala no twitter,RACISMO
mandaram eu voltar pra senzala no jogo online,RACISMO
mandaram eu voltar pra senzala em público,RACISMO
mandaram eu voltar pra senzala no estádio,RACISMO
mandaram eu voltar pra senzala na rua,RACISMO
mandaram eu voltar pra senzala na faculdade,RACISMO
mandaram eu voltar pra senzala num comentário,RACISMO
mandaram eu voltar pra senzala por DM,RACISMO
mandaram eu voltar pra senzala num post,RACISMO
mandaram eu voltar pra senzala num story,RACISMO
mandaram eu voltar pra senzala em live,RACISMO
mandaram eu voltar pra senzala no tiktok,RACISMO
mandaram eu voltar pra senzala num áudio,RACISMO
fizeram piada racista comigo no insta,RACISMO
fizeram piada racista comigo no facebook,RACISMO
fizeram piada racista comigo no trabalho,RACISMO
fizeram piada racista comigo na escola,RACISMO
fizeram piada racista comigo no grupo da família,RACISMO
fizeram piada racista comigo no whatsapp,RACISMO
fizeram piada racista comigo no zap,RACISMO
fizeram piada racista comigo no twitter,RACISMO
