texto,real,predito
me ofenderam pela cor da pele,RACISMO,DESCONHECIDO
me chamaram de escravo,RACISMO,DESCONHECIDO
comentaram ofensa racial no trabalho,RACISMO,DESCONHECIDO
me chamaram de negro imundo,RACISMO,DESCONHECIDO
me mandaram voltar pra senzala,RACISMO,DESCONHECIDO
disseram que gente da minha cor não presta,RACISMO,DESCONHECIDO
falaram que eu só consegui emprego por cota,RACISMO,DESCONHECIDO
me chamaram de neguinho de forma ofensiva,RACISMO,DESCONHECIDO
fizeram piada racista comigo na internet,RACISMO,DESCONHECIDO
gritaram ofensas raciais na rua,RACISMO,DESCONHECIDO
disseram que minha cor é motivo de vergonha,RACISMO,DESCONHECIDO
falaram que eu parecia escravo,RACISMO,DESCONHECIDO
postaram meme racista sobre mim,RACISMO,DESCONHECIDO
me chamaram de negro sujo,RACISMO,DESCONHECIDO
me zoaram por ser africano,RACISMO,DESCONHECIDO
me chamaram de macaco em público,RACISMO,DESCONHECIDO
me humilharam por ser negro,RACISMO,DESCONHECIDO
me zoaram pq sou negro,RACISMO,DESCONHECIDO
um cara disse q preto n presta,RACISMO,DESCONHECIDO
gritaram macaco pra mim na rua,RACISMO,DESCONHECIDO
me zoaram chamando de senzala,RACISMO,DESCONHECIDO
postaram meme racista com minha foto,RACISMO,DESCONHECIDO
me chamaram de escravinho,RACISMO,DESCONHECIDO
me compararam a gorila,RACISMO,DESCONHECIDO
me chamaram de negão safado,RACISMO,DESCONHECIDO
falaram q eu parecia animal,RACISMO,DESCONHECIDO
mandaram msg racista no insta,RACISMO,DESCONHECIDO
me chamaram de neguinho lixo,RACISMO,DESCONHECIDO
disseram q eu n devia estudar pq sou preto,RACISMO,DESCONHECIDO
um desconhecido me chamou de escravo,RACISMO,DESCONHECIDO
me humilharam pela minha cor de pele,RACISMO,DESCONHECIDO
me xingaram de neguim ridículo,RACISMO,DESCONHECIDO
gritaram negro imundo pra mim,RACISMO,DESCONHECIDO
um cara disse q eu era macaco jogando bola,RACISMO,DESCONHECIDO
me chamaram de urubu,RACISMO,DESCONHECIDO
disseram q minha pele é feia,RACISMO,DESCONHECIDO
um cara falou q minha cor é piada,RACISMO,DESCONHECIDO
me chamaram de escravo velho,RACISMO,DESCONHECIDO
me compararam a chimpanzé,RACISMO,DESCONHECIDO
me mandaram sair do grupo pq sou negro,RACISMO,DESCONHECIDO
me chamaram de pretinho com deboche,RACISMO,DESCONHECIDO
me xingaram de negrão safado,RACISMO,DESCONHECIDO
alguém falou q eu devia voltar pra senzala,RACISMO,DESCONHECIDO
me zoaram chamando de carvão humano,RACISMO,DESCONHECIDO
um cara disse q minha cor é piada,RACISMO,DESCONHECIDO
me chamaram de neguinho fedido,RACISMO,DESCONHECIDO
postaram comentário racista na minha foto,RACISMO,DESCONHECIDO
um cara falou que vai me matar,AMEACA,DESCONHECIDO
mandaram mensagem me ameaçando,AMEACA,DESCONHECIDO
um vizinho me fez ameaça grave,AMEACA,DESCONHECIDO
prometeram acabar com a minha vida,AMEACA,DESCONHECIDO
me ameaçaram com faca,AMEACA,DESCONHECIDO
falaram que iam me caçar até em casa,AMEACA,DESCONHECIDO
ameaçaram jogar pedra na minha casa,AMEACA,DESCONHECIDO
falaram que eu não ia escapar vivo,AMEACA,DESCONHECIDO
alguém disse que vai me caçar no trabalho,AMEACA,DESCONHECIDO
me ameaçaram no grupo do whatsapp,AMEACA,DESCONHECIDO
um cara falou q eu ia apanhar feio,AMEACA,DESCONHECIDO
recebi msg de morte,AMEACA,DESCONHECIDO
recebi ameaça de agressão,AMEACA,DESCONHECIDO
falaram q eu não passaria dessa semana,AMEACA,DESCONHECIDO
falaram q iam jogar pedra em mim,AMEACA,DESCONHECIDO
um cara me ameaçou no facebook,AMEACA,DESCONHECIDO
um cara falou q eu ia ser apagado,AMEACA,DESCONHECIDO
me ameaçaram na saída do trabalho,AMEACA,DESCONHECIDO
um colega mandou recado de ameaça,AMEACA,DESCONHECIDO
recebi msg de ameaça séria,AMEACA,DESCONHECIDO
um cara me ameaçou pessoalmente,AMEACA,DESCONHECIDO
falaram calúnia no grupo de whatsapp,HONRA,DESCONHECIDO
me acusaram injustamente,HONRA,DESCONHECIDO
disseram que eu roubei sem provas,HONRA,DESCONHECIDO
estão falando mal da minha reputação,HONRA,DESCONHECIDO
me chamaram de safado em público,HONRA,DESCONHECIDO
um colega inventou histórias falsas,HONRA,DESCONHECIDO
falaram que sou corno,HONRA,DESCONHECIDO
me chamaram de inútil no trabalho,HONRA,DESCONHECIDO
disseram que não presto pra nada,HONRA,DESCONHECIDO
me chamaram de safada na rua,HONRA,DESCONHECIDO
espalharam boatos falsos na vizinhança,HONRA,DESCONHECIDO
falaram mal da minha reputação no trabalho,HONRA,DESCONHECIDO
me chamaram de inútil na frente de todos,HONRA,DESCONHECIDO
um cara me chamou de corno safado,HONRA,DESCONHECIDO
me chamaram de burro no trabalho,HONRA,DESCONHECIDO
espalharam boatos na empresa,HONRA,DESCONHECIDO
me chamaram de lixo humano,HONRA,DESCONHECIDO
espalharam fake news sobre meu nome,HONRA,DESCONHECIDO
falaram q eu não valho nada,HONRA,DESCONHECIDO
um cara falou q eu era frouxo,HONRA,DESCONHECIDO
me chamaram de ridículo,HONRA,DESCONHECIDO
um cara disse q eu era sem moral,HONRA,DESCONHECIDO
me chamaram de corno manso,HONRA,DESCONHECIDO
me acusaram de coisa q não fiz,HONRA,DESCONHECIDO
um colega disse q eu era sujo,HONRA,DESCONHECIDO
estão me perseguindo no instagram,PERSEGUICAO,DESCONHECIDO
ficam me rondando perto do trabalho,PERSEGUICAO,DESCONHECIDO
um cara me espera todo dia na saída do trabalho,PERSEGUICAO,DESCONHECIDO
ficam me seguindo no metrô,PERSEGUICAO,DESCONHECIDO
alguém fica atrás de mim na faculdade,PERSEGUICAO,DESCONHECIDO
estão stalkeando todas as minhas redes sociais,PERSEGUICAO,DESCONHECIDO
me ligam sem parar todos os dias,PERSEGUICAO,DESCONHECIDO
alguém fica anotando onde eu vou,PERSEGUICAO,DESCONHECIDO
fico recebendo presentes indesejados em casa,PERSEGUICAO,DESCONHECIDO
alguém aparece toda vez que saio de casa,PERSEGUICAO,DESCONHECIDO
um conhecido não respeita meu espaço,PERSEGUICAO,DESCONHECIDO
me seguem até no ônibus,PERSEGUICAO,DESCONHECIDO
um cara me stalkeia no insta,PERSEGUICAO,DESCONHECIDO
um cara me ronda na escola,PERSEGUICAO,DESCONHECIDO
alguém me vigia sempre,PERSEGUICAO,DESCONHECIDO
um vizinho fica na minha porta,PERSEGUICAO,DESCONHECIDO
um cara me manda msg todo dia,PERSEGUICAO,DESCONHECIDO
um ex namorado me segue,PERSEGUICAO,DESCONHECIDO
me stalkeiam em todas redes,PERSEGUICAO,DESCONHECIDO
me perseguem desde a escola,PERSEGUICAO,DESCONHECIDO
um homem me espera no ponto,PERSEGUICAO,DESCONHECIDO
um cara aparece na minha igreja,PERSEGUICAO,DESCONHECIDO
me seguem até academia,PERSEGUICAO,DESCONHECIDO
me mandam msg sem parar,PERSEGUICAO,DESCONHECIDO
fui enganado numa compra online,ESTELIONATO,DESCONHECIDO
fizeram cobrança falsa,ESTELIONATO,DESCONHECIDO
me mandaram boleto fraudado,ESTELIONATO,DESCONHECIDO
vendi produto e não me pagaram,ESTELIONATO,DESCONHECIDO
fiz transferência e não recebi nada,ESTELIONATO,DESCONHECIDO
comprei online e nunca entregaram,ESTELIONATO,DESCONHECIDO
cobrança de dívida que não existe,ESTELIONATO,DESCONHECIDO
mandaram mensagem fingindo ser banco,ESTELIONATO,DESCONHECIDO
me ofereceram produto que não existia,ESTELIONATO,DESCONHECIDO
comprei celular e era réplica,ESTELIONATO,DESCONHECIDO
fizeram compra no meu cartão sem eu saber,ESTELIONATO,DESCONHECIDO
um cara se passou por banco,ESTELIONATO,DESCONHECIDO
recebi ligação falsa do banco,ESTELIONATO,DESCONHECIDO
me passaram cheque sem fundo,ESTELIONATO,DESCONHECIDO
um cara pediu adiantamento e sumiu,ESTELIONATO,DESCONHECIDO
vendi produto e não pagaram,ESTELIONATO,DESCONHECIDO
recebi cobrança inexistente,ESTELIONATO,DESCONHECIDO
um cara se passou por correio,ESTELIONATO,DESCONHECIDO
golpe de whatsapp clonado,ESTELIONATO,DESCONHECIDO
um cara fingiu ser suporte,ESTELIONATO,DESCONHECIDO
me venderam coisa falsificada,ESTELIONATO,DESCONHECIDO
golpe da pirâmide,ESTELIONATO,DESCONHECIDO
um amigo falso pediu grana,ESTELIONATO,DESCONHECIDO
meu companheiro me agrediu fisicamente,VIOLENCIA_DOMESTICA,DESCONHECIDO
me ameaçaram em casa,VIOLENCIA_DOMESTICA,DESCONHECIDO
estou sofrendo violência doméstica,VIOLENCIA_DOMESTICA,DESCONHECIDO
sofri violência física em casa,VIOLENCIA_DOMESTICA,DESCONHECIDO
estou sendo agredida pelo companheiro,VIOLENCIA_DOMESTICA,DESCONHECIDO
meu parceiro tentou me enforcar,VIOLENCIA_DOMESTICA,DESCONHECIDO
sofri socos e chutes do meu companheiro,VIOLENCIA_DOMESTICA,DESCONHECIDO
meu parceiro me ameaçou com faca,VIOLENCIA_DOMESTICA,DESCONHECIDO
meu companheiro me chutou,VIOLENCIA_DOMESTICA,DESCONHECIDO
meu companheiro tentou me enforcar,VIOLENCIA_DOMESTICA,DESCONHECIDO
